text,env
"Over the course of the year, your partnership with The Wilderness Society, and your generous support, enabled us to secure significant conservation victories.",1.0
"Working with community and Indigenous-led coalitions, we focused on undoing the damage of the Trump years and pursuing public lands solutions to climate change, species extinction and expanding equitable access to nature.",1.0
And together we made a more inclusive conservation movement a reality.,0.0
"They also serve to remind us that we never have, and never will, achieve major conservation gains by acting alone.",0.0
"You are a vital member of this movement to create a sustainable future in which all people and nature can thrive together, from the urban to the wild.",1.0
And we greatly look forward to working with you to pursue our many bold conservation initiatives in the year ahead.,1.0
"Slowing Species Extinction: Rampant development and a changing climate are causing irreversible damage to wildlife and wild nature, as well as to people and communities.",1.0
"• Building equitable, community led collaborations in key landscapes to drive lasting conservation solutions.",1.0
• Advocating for new national policies that accelerate the protection of nature.,1.0
Confronting Climate Change: We know that we have less than avoid the worst impacts of climate change.,1.0
Pushing for sharp reductions in fossil fuel extraction on public lands.,1.0
• Advocating for rapid expansion of responsibly sited renewable energy.,1.0
"Ensuring Equitable Access to Nature: Historically, institutions and systems have excluded or failed many communities—and in many ways, continue to do so.",1.0
Driving policy innovation to ensure equitable access to nature and inclusive public lands decision-making.,1.0
Using our platform and resources to invest in the power of those who have too often been excluded from conservation leadership.,1.0
"To achieve this first-ever national conservation goal, we must rely on federal public lands, which cover of our country and contain most of its remaining wildlands.",1.0
"Protecting nature on this scale will not only lessen the ongoing extinction crisis but will also help curb the worst effects of climate change and ensure communities have access to clean air, clean water and outdoor spaces.",1.0
the damage to people and nature from climate change has become more severe.,1.0
"From the deserts of California to the Alaskan Arctic, from the Appalachian Mountains to countless other landscapes, public lands are rich in beauty and biodiversity and provide immeasurable benefits to the communities who count on them.",1.0
"And yet, private interests, and often our own government, have long seen these shared lands as a source of profit for the fossil fuel industry.",1.0
"This is damaging to wild nature and nearby communities, especially those that bear the brunt of fossil fuel pollution.",1.0
"In fact, in the U.S., coal, oil and gas production from federal public lands represents nearly one quarter of our total national greenhouse gas emissions.",1.0
"If U.S. public lands were a country, its emissions alone would be the fifth highest in the world.",1.0
"We must transition away from fossil fuel extraction, expand responsibly sited renewable energy, and protect wildlands that serve as “carbon sinks,” which take carbon from the atmosphere and store it.",1.0
"Old-growth and mature forests are among the most powerful tools for natural carbon sequestration we have, and none is more important than the Tongass National Forest.",1.0
"With its towering old-growth and mature stands of trees, it absorbs and stores more heat-trapping carbon than any other U.S. forest.",1.0
"Crucially, the Biden administration went further, banning all industrial-scale logging of old growth trees throughout the committing an initial $25 million to Tribal priorities and community well-being in the region.",1.0
These restored and expanded protections secure an essential “carbon sink” and set an important precedent for climate-friendly forest protection in the future.,1.0
"We are working to change the laws and policies that govern how public lands are managed so that they prioritize climate protection, equitable access to nature for everyone, and conservation—not corporate profits for fossil fuel and other extractive industries.",1.0
"To build enduring approaches to managing our shared lands, we will continue to follow the lead of Tribes, communities of color, working-class and frontline communities—those directly impacted by fossil fuel extraction on public lands—and others who continue to be excluded from public lands decision making.",1.0
"Alongside communities, our partners, and supporters like you, we will press the Biden administration to begin a rapid phase-out of fossil fuel development on public lands, while ensuring a just transition to a sustainable economy for fossil fuel-dependent states and localities.",1.0
"We will help communities choose the best sites for responsibly expanding renewable energy, thereby boosting local economies and generating revenue streams for state and local governments.",1.0
And we will continue to conserve and protect carbon storage champs like our national forests.,1.0
Yet for too long—and despite Indigenous communities’ pleas to protect this landscape—the federal government has thrown much of it open to fossil fuel extraction.,1.0
Ninetyone percent of available lands in the Greater Chaco region are already leased for oil and gas development.,1.0
"The impact of this is not only pollution that threatens the historical site and the health of nearby Tribal communities, but also emissions that threaten the future of our shared planet.",1.0
"In 20-year withdrawal of federal lands within a 10-mile radius around Chaco Culture National Historical Park, ensuring no new oil and gas leasing or development will take place.",1.0
"For far too long, too many have lacked easy access to nature and healthy outdoor activities—especially those who experience outsized burdens and challenges to their well-being.",1.0
"Today, communities of color are three times more likely to live in nature-deprived areas, and low-income communities have significantly less access to nature than the rest of the country.",1.0
"For decades, the Bullitt Foundation has been helping to lead the Pacific Northwest’s pursuit of a greener future, supporting efforts to conserve lands and waters, promote sustainable communities, and center racial equity and justice in the environmental movement.",1.0
"The goal is to connect the vibrant ecosystems of the North Cascades—from Portland, Oregon to Vancouver, British Columbia.",1.0
"But in order to protect the region’s iconic peaks, ancient forests and waters, alongside its recreation values, the foundation was looking for a partner that understood the complexities of bridging the urban to wild divide.",1.0
"“It wasn’t easy to find groups willing to embrace the big, complex challenges of connecting urban communities to wildlands, including understanding and addressing the deep racial inequities in access to nature,” says Denis.",1.0
"“This is a real opportunity to engage in natural area, open-space conservation, in collaboration with community partners, and to connect that work with efforts to protect the region’s public lands,” he adds.",1.0
As The Bullitt Foundation prepares to wind down its grantmaking in Society is looking ahead and sees the Urban to Wild program as integral to landscape-scale conservation.,0.0
The opportunity to refine this model to enhance the resilience of natural ecosystems and human communities will continue to benefit the greater Seattle region and beyond.,1.0
Connecting Urban to Wild All people need and deserve places where they can enjoy nature and live healthy lives.,1.0
"And with more than percent of the U.S. population now residing in cities, it is more important than ever to focus on green spaces in urban places.",1.0
"But many urban communities lack equitable access to nature, and after decades of discriminatory planning and development policies, communities of color are far more likely to face challenges accessing parks and green space.",1.0
"And we’ll partner with local groups and leaders to connect residents to nature and achieve big policy wins, while leveraging our work at the federal level for maximum impact.",1.0
Urban to Wild will also expand our efforts to develop the conservation leaders of the future.,0.0
"We’ll expand our partnerships with groups providing outdoor experiences to urban youth to bring them into wild public lands, teach them about the history of these shared lands and how to become effective advocates for public lands and conservation.",1.0
"Together, we will build a more inclusive and powerful conservation movement to harness the potential of public lands to help our nation address the challenges of our time: species extinction, climate change and inequitable access to nature.",1.0
"While it is critical in the near-term to keep up the fight to defend the Arctic Refuge, it is also urgent that we lay the groundwork for future conservation gains.",1.0
"It is meant to support a transition away from a fossil fueldependent economy and permanently protect the lands, waters and a way of life for the Indigenous peoples of the region.",1.0
His generous gift decades ago paved the way for spirited individuals to continue serving at the forefront of America’s conservation movement today.,0.0
"Brenda was an officer of Johnson & Johnson, leading of global compliance and quality, energy, environment, health and safety.",1.0
"He is the CEO of the Colorado Plateau Foundation, which supports regional Native communities to protect water and sacred places, ensure food security, and preserve languages and ancestral knowledge.",1.0
", Flip was a regional Vice President of the Student Conservation Association and its Senior Diversity Relations Officer.",0.0
"Flip has served on several governing boards, including the SCA, the Institute of Conservation Leadership and the National Outdoor Leadership School.",0.0
"He advises many groups on environmental and conservation education as well as diversity, equity and inclusion.",1.0
"Michael founded the Resources Legacy Fund to design and advance innovative solutions that have broadened the leadership and constituency for the environment and helped achieve enduring gains for land, water, ocean and climate.",1.0
"He co-led the that preserved California’s landmark climate change legislation and chaired two campaigns resulting in state voters approving over $8 billion of investments in water, land and ocean conservation.",1.0
"Program Organizational GrowthDespite the negative impacts of COVID-19 over the last two years, thanks to the efforts of our adaptable team and steadfast supporters, we continue to benefit from steady growth in financial resources to support current and future conservation efforts.",
Inspired by a growing need The ocean is in trouble.,1.0
"From the depletion of fish stocks to increasing ocean temperatures, human activity threatens marine ecosystems that are vital to the health of our ocean and all life on earth.",1.0
"The Marine Mammal Center is a critical first responder to these threats and a leader in the field of ocean conservation through our work in marine mammal rescue, science and education.",1.0
"Marine mammals are ecosystem indicators, and the health of these animals provides insights into human and ocean health threats.",1.0
"Together, we are taking action today to support a network of scientists and stewards to protect our shared ocean environment for future generations.",1.0
"OUR MISSION The Marine Mammal Center advances global ocean conservation through marine mammal rescue and rehabilitation, scientific research, and education.",1.0
"Your generosity supports young people on their journey to care for our ocean as passionate, optimistic and resilient advocates.",1.0
"In uncertain times, our educators committed to empowering a community of future ocean stewards all over the world with innovative and mission-driven programs.",1.0
"Thanks to your generous support, we have been able to improve animal care workflows, collect increasingly higher quality data, support research projects with historic and prospective data, and dive into animal stranding trends through adapting our animal records database.",0.0
"Thanks to your generous support, the Center continued to care for many sick and injured marine mammal patients despite the impacts of the pandemic.",0.0
"It’s your unwavering dedication that makes every aspect of this important conservation work possible, resulting in positive influence and impact locally and around the world.",1.0
It’s what makes it possible to continue advancing global ocean conservation every day.,1.0
Thank you for making a positive impact on our shared ocean.,1.0
"Thanks to you, we can save the lives of marine mammals and advance global ocean conservation, while enriching our community.",1.0
"Highlights of our animal care impacts from October to September 2021, made possible by your support: Received more than 10,000 calls to our 24-hour hotline for reporting distressed marine mammals, leading us to dispatch responders to assess nearly 1,600 animals.",0.0
"Received and responded to more than endangered Hawaiian monk seals on Hawai‘i Island, sending responders out to an average of four seals per day to monitor the animal, and provide public outreach and education.",1.0
"The Marine Mammal Center learns from the patients in our care and contributes to scientific understanding of the changing health of our ocean, taking action to address ocean threats and save endangered species.",1.0
"Performed more than including 35 whales, dolphins and porpoises, and processed 10,185 specimens, such as blood, tissue and fur samples, to identify diseases and pathogens, investigate the reasons why marine mammals strand and determine how these factors are connected to ecosystem and human health.",1.0
"Fiscal Year The Marine Mammal Center leads as a teaching hospital by training veterinary professionals locally and internationally, and inspiring future ocean stewards through innovative school and public education programs.",1.0
