text,gov
"It was an honor to stand with the Tribes and see President Biden restore the Bears Ears National Monument to its original boundaries, and deeply gratifying to have a hand in gaining protection for threatened lands surrounding Chaco Culture National Historical Park.",0
These victories demonstrate the impact of combining The Wilderness Society’s expertise and strength with efforts led by the people who have the most at stake.,0
We seek the guidance of Native American and Indigenous peoples to effectively advocate for the protection of culturally significant lands and the preservation of language and culture.,0
Driving policy innovation to ensure equitable access to nature and inclusive public lands decision-making.,0
"Protecting nature on this scale will not only lessen the ongoing extinction crisis but will also help curb the worst effects of climate change and ensure communities have access to clean air, clean water and outdoor spaces.",0
"In the face of the extinction crisis, your support is helping to build a more resilient tomorrow.",0
“President Biden did the right thing restoring the Bears Ears National Monument.,0
The monument represents a historic opportunity for the federal government to learn and incorporate our tribal land management practices.,0
"and contain most of its remaining wildlands 28% Invited by the Tribal leaders who led the efforts to create and restore Bears Ears, The Wilderness Society’s President Jamie Williams (2nd from right, back row) attended the signing ceremony on October 8, 2021.",0
"now, and if there was ever a time to support an organization that is going to help us mitigate this crisis—and create a sustainable future for people, wildlife and wildlands—now is that time,” he insists.",0
"Although transformative legislative solutions stalled in Congress at the end of the year, opportunities for progress remain as the Executive Branch has direct control and wide latitude over the use of federal public lands.",0
"We are working to change the laws and policies that govern how public lands are managed so that they prioritize climate protection, equitable access to nature for everyone, and conservation—not corporate profits for fossil fuel and other extractive industries.",0
"To build enduring approaches to managing our shared lands, we will continue to follow the lead of Tribes, communities of color, working-class and frontline communities—those directly impacted by fossil fuel extraction on public lands—and others who continue to be excluded from public lands decision making.",0
"In 20-year withdrawal of federal lands within a 10-mile radius around Chaco Culture National Historical Park, ensuring no new oil and gas leasing or development will take place.",0
"For decades, the Bullitt Foundation has been helping to lead the Pacific Northwest’s pursuit of a greener future, supporting efforts to conserve lands and waters, promote sustainable communities, and center racial equity and justice in the environmental movement.",0
"“Although The Wilderness Society didn’t have a history of engagement in Seattle’s urban neighborhoods, they are trusted for their collaborative approach, their deep policy and science expertise, and their effective advocacy efforts,” he says.",0
"And we’ll partner with local groups and leaders to connect residents to nature and achieve big policy wins, while leveraging our work at the federal level for maximum impact.",0
"Brenda was an officer of Johnson & Johnson, leading of global compliance and quality, energy, environment, health and safety.",1
"Highlights of our animal care impacts from October to September 2021, made possible by your support: Received more than 10,000 calls to our 24-hour hotline for reporting distressed marine mammals, leading us to dispatch responders to assess nearly 1,600 animals.",0
"We lead as a teaching hospital by training veterinary professionals locally and internationally, and inspiring future ocean stewards through innovative school and public education programs.",0
