text,env
"Also, its U.S.-based plants have voluntarily participated in the American Chemistry Council’s Responsible Care® initiative for more than a decade.",1
"Investors are concerned that Chevron has not adequately addressed climate change – a massive risk that is already manifest and set to intensify over time via regulation, energy price swings, and growing uncertainty around the value of fossil fuel reserves.",1
"Historically, releases from CPChem’s petrochemical operations have exceeded legal limits, exposing the company to liability.",1
"The U.S. joined the Global Methane Pledge, committing to using best available inventory methodologies to quantify methane emissions.",1
"While the ultimate responsibility for climate strategy should fall on the full board, a board committee can conduct a more focused review than the full board, and therefore better inform and strengthen board decision making by:",1
“Climate change poses a major risk to the stability of the U.S. financial system and to its ability to sustain the American economy” according to the United States’ Commodity Futures Trading Commission.,1
"In 2021, a Dutch court ordered Shell to severely reduce their worldwide emissions (Scope 1, 2, and 3) by 2030.",1
"Shareholders request the Company to substantially reduce the greenhouse gas (GHG) emissions of their energy products (Scope 3) in the medium- and long- term future, as defined by the Company.",1
"Investors are also calling for high-emitting companies to test their financial assumptions and resiliency against substantial reduced-demand climate scenarios,4 and to provide investors insights about the potential impact on their financial statements.5,6,7",1
"Corporate lobbying activities that are inconsistent with meeting the goals of the Paris Agreement present regulatory, reputational and legal risks to investors.",1
"We therefore encourage you to reduce emissions, inspiring society, employees, shareholders, and the energy sector, and allowing the company to meet an increasing demand for energy while reducing GHG emissions to levels consistent with curbing climate change.",1
"We believe that Paris-aligned climate lobbying helps to mitigate these risks, and contributes positively to the long-term value of our investment portfolios.",1
The OE framework guides Chevron Phillips Chemical’s efforts in the design of facilities.,1
"As fiduciaries, our board is responsible for stewardship of business performance and long-term strategic planning, in light of risk factors like climate science and policy.",1
It is in investors’ interest to reduce climate externalities to protect long-term returns.,1
"Other examples are available in Chevron’s Corporate Responsibility Report and in the Corporate Responsibility case studies, which are on Chevron’s website.",1
"Therefore, shareholders support oil and gas companies to change course; to substantially reduce emissions.",1
Chevron recognizes that the use of fossil fuels to meet the world’s ever-growing energy needs is a contributor to rising levels of greenhouse gases (“GHGs”) in the earth’s atmosphere.,1
"Chevron addresses the risks and opportunities presented by the global transition toward a lower-emissions energy system through its three strategic action areas: (1) lower carbon intensity cost efficiently, (2) increase renewables and offsets in support of our own business, and (3) invest in low-carbon technologies to enable commercial solutions.",1
"Chevron supports the goals of the Paris Agreement and is committed to lowering our portfolio carbon intensity, on a full-cycle basis, and to being transparent about our progress.",1
The report requested in the proposal would not lead to enhanced protection against the physical risks of climate change.,1
"Climate change is a challenge for all of us, and we need to address it holistically.",1
"Chevron has supported lobbying and trade associations that spread dis-information on climate science and policy, such as the American Legislative Exchange Council (“ALEC”) and the American Petroleum Institute (“API”).",1
Describe any efforts to validate emissions estimates and disclosure through a third-party audit or evaluation.,1
"To this end, Chevron works with governments and other stakeholders to develop climate policy that addresses environmental goals while continuing to ensure critical access to affordable, reliable, and ever-cleaner energy.",1
The Intergovernmental Panel on Climate Change projects dramatic drops in industry emissions of 50 to 90 percent by 2050 are necessary to limit global warming to 1.5 and 2 degrees Celsius.,1
This report further describes Chevron’s lobbying strategies and governance to ensure its trade association memberships are in alignment with Chevron’s interests with respect to climate change issues.,1
"For decades, Chevron has managed risks associated with the impact of ambient conditions on our operations.",1
"As climate change intensifies flooding and storm strength, the potential for unplanned chemical releases grows.",1
"Further, Chevron has increased renewable fuels and products in its value chains over the last decade and plans to spend $750 million by 2028 in investments in renewables and offsets.",1
"Resolved: Shareholders request that Chevron, with board oversight, publish a report, omitting proprietary information and prepared at reasonable cost, assessing the public health risks of expanding petrochemical operations and investments in areas increasingly prone to climate change-induced storms, flooding, and sea level rise.",1
Resolved: Shareholders request the Board of Directors charter a new Board Committee on Climate Risk to evaluate the board and management’s climate strategy and to better inform board decision making on climate risks and opportunities.,1
Chevron shares the concerns of governments and the public about climate change risks.,1
"We plan to release a Methane Strategy Update (“Update”) later this year, which will address methane detection, direct measurement quantification, and disclosure.",1
One example of a lower carbon scenario tested against Chevron’s portfolio is the SDS.,1
Therefore shareholders support oil and gas companies to substantially reduce their emissions.,1
"In 2020, more than 60 percent of Chevron’s total Scope 1 and Scope 2 equity GHG emissions were in regions with existing or developing carbon pricing policies.",1
"Chevron believes that taking prudent, practical, and cost-effective actions to address climate change risks is the right thing to do.",1
"Chevron’s global operations have contributed to negative impacts on human rights, community relations, health, air quality, and water, all of which are identified as material for the Oil and Gas Exploration and Production sector by the Sustainability Accounting Standards Board.",1
2. Transparently reporting Scope 3 emissions from the use of our products; and,1
