text,gov
"The Board should summarize its findings to shareholders by January 31, 2022, and the report should be completed at reasonable cost and omitting proprietary information.",1
These Committees regularly assess risks and opportunities related to climate change.,1
Your Board recommends a vote AGAINST this proposal because Chevron already provides extensive disclosure on its lobbying activities and expenditures.,1
"However, Chevron has yet to fully report these risks in either public filings or statements to shareholders.",1
"In a March 4, 2014, ruling that held that the Ecuadorian judgment was unenforceable in the United States and the plaintiffs’ counsel was liable for racketeering under the RICO statute, the U.S. District Court for the Southern District of New York (“SDNY”) found that the plaintiffs’ team “wrote the [Ecuadorian] court’s Judgment themselves and promised $500,000 to the Ecuadorian judge to rule in their favor and sign their judgment.”",1
Chevron intends to reach these goals through innovation and top-tier performance.,1
"RESOLVED: Shareowners request that the Board of Chevron Corporation take the steps necessary to amend Company bylaws and appropriate governing documents to give holders of 10% of outstanding common stock the power to call a special shareowners meeting. To the fullest extent permitted, such bylaw shall not contain exceptions or excluding conditions that apply to shareowners but not to the management or Board.",1
"Chevron’s management of community-related issues is integrated into its Operational Excellence Management System (“OEMS”), which is available on Chevron’s website.",1
"Policy decisions can significantly affect Chevron’s strategies, capital investments, operations and, ultimately, stockholder value.",1
"In the 2019 Corporate Human Rights Benchmark, Chevron received zero points on remedy, evaluating effectiveness of human rights actions, and communicating how impacts are addressed.",1
The Board continues to believe this By-Law is in the stockholders’ best interests and provides appropriate and reasonable limitations on the right to call special meetings.,1
"peers (Shell, bp, TotalEnergies) have released more transparent disclosures in their audited financial statements, articulating the extent of consideration of climate change contingencies and risks.",1
"Finally, although the proposal purports to relate to special meetings, its supporting statement shows that this is a vehicle to discuss the fraudulent Ecuador litigation and various frivolous allegations against Chevron.",1
Your Board is confident that the Company’s lobbying and political activities – and association memberships – are aligned with Chevron’s goals and the long-term interests of our stockholders.,1
"Despite the materiality of this issue, Chevron’s audited annual disclosures do not currently provide investors with sufficient insight into assumptions used to assess productive assets for impairment and stranded asset risk.",1
"Rather, your Board believes that stockholder interests are best served when Directors have the flexibility to determine the best person to serve as Chairman, recognizing that no single leadership model is appropriate in all circumstances.",1
"Itemized in each report are all contributions to candidates, organizations, and committees as well as those related to ballot measures.",1
"However, Chevron believes that through continuous participation with these organizations it has the best opportunity to influence their positions in a manner that aligns with the long-term interests of its stockholders.",1
