accuracy,precision,recall,f1_score,fold,seed,shots
0.6725,0.425,0.6355140186915887,0.5093632958801498,1,1,4
0.6975,0.46111111111111114,0.7757009345794392,0.578397212543554,2,1,4
0.73,0.5,0.8333333333333334,0.625,3,1,4
0.6925,0.44755244755244755,0.5925925925925926,0.5099601593625498,4,1,4
0.6425,0.4146341463414634,0.7870370370370371,0.5431309904153354,5,1,4
0.49,0.3377926421404682,0.9439252336448598,0.4975369458128079,1,2,4
0.5625,0.3440366972477064,0.7009345794392523,0.46153846153846156,2,2,4
0.68,0.427536231884058,0.5462962962962963,0.4796747967479675,3,2,4
0.765,0.5625,0.5833333333333334,0.5727272727272728,4,2,4
0.6275,0.4104803493449782,0.8703703703703703,0.5578635014836796,5,2,4
0.5725,0.38321167883211676,0.9813084112149533,0.5511811023622047,1,3,4
0.6625,0.3923076923076923,0.4766355140186916,0.43037974683544306,2,3,4
0.5725,0.37037037037037035,0.8333333333333334,0.5128205128205128,3,3,4
0.5725,0.3648068669527897,0.7870370370370371,0.49853372434017595,4,3,4
0.6725,0.43352601156069365,0.6944444444444444,0.5338078291814946,5,3,4
0.61,0.3939393939393939,0.8504672897196262,0.5384615384615384,1,4,4
0.6575,0.41847826086956524,0.719626168224299,0.5292096219931272,2,4,4
0.71,0.478494623655914,0.8240740740740741,0.6054421768707483,3,4,4
0.7925,0.6506024096385542,0.5,0.5654450261780105,4,4,4
0.6775,0.45374449339207046,0.9537037037037037,0.6149253731343284,5,4,4
0.775,0.5620437956204379,0.719626168224299,0.6311475409836066,1,5,4
0.77,0.5510204081632653,0.7570093457943925,0.6377952755905512,2,5,4
0.73,0.5,0.7222222222222222,0.5909090909090909,3,5,4
0.6975,0.46060606060606063,0.7037037037037037,0.5567765567765568,4,5,4
0.7725,0.5794392523364486,0.5740740740740741,0.5767441860465117,5,5,4
0.74,0.50920245398773,0.7757009345794392,0.6148148148148148,1,1,8
0.7375,0.5056818181818182,0.8317757009345794,0.6289752650176679,2,1,8
0.78,0.5641025641025641,0.8148148148148148,0.6666666666666666,3,1,8
0.7625,0.5414012738853503,0.7870370370370371,0.6415094339622641,4,1,8
0.7625,0.5384615384615384,0.8425925925925926,0.6570397111913358,5,1,8
0.6825,0.4523809523809524,0.8878504672897196,0.5993690851735016,1,2,8
0.8025,0.6014492753623188,0.7757009345794392,0.6775510204081633,2,2,8
0.8175,0.6277372262773723,0.7962962962962963,0.7020408163265306,3,2,8
0.84,0.7,0.7129629629629629,0.7064220183486238,4,2,8
0.7625,0.543046357615894,0.7592592592592593,0.6332046332046332,5,2,8
0.755,0.5248618784530387,0.8878504672897196,0.6597222222222222,1,3,8
0.7775,0.5555555555555556,0.8411214953271028,0.6691449814126395,2,3,8
0.7875,0.5657142857142857,0.9166666666666666,0.6996466431095406,3,3,8
0.755,0.5277777777777778,0.8796296296296297,0.6597222222222222,4,3,8
0.7675,0.5477707006369427,0.7962962962962963,0.6490566037735849,5,3,8
0.76,0.5345911949685535,0.794392523364486,0.6390977443609023,1,4,8
0.8375,0.6458333333333334,0.8691588785046729,0.7410358565737052,2,4,8
0.785,0.5670731707317073,0.8611111111111112,0.6838235294117647,3,4,8
0.8425,0.6744186046511628,0.8055555555555556,0.7341772151898734,4,4,8
0.775,0.550561797752809,0.9074074074074074,0.6853146853146853,5,4,8
0.81,0.6013071895424836,0.8598130841121495,0.7076923076923077,1,5,8
0.81,0.5962732919254659,0.897196261682243,0.7164179104477612,2,5,8
0.78,0.5588235294117647,0.8796296296296297,0.6834532374100719,3,5,8
0.815,0.6370967741935484,0.7314814814814815,0.6810344827586207,4,5,8
0.8375,0.6869565217391305,0.7314814814814815,0.7085201793721974,5,5,8
0.7875,0.5705128205128205,0.8317757009345794,0.6768060836501901,1,1,16
0.77,0.5414364640883977,0.9158878504672897,0.6805555555555556,2,1,16
0.8375,0.6387096774193548,0.9166666666666666,0.752851711026616,3,1,16
0.815,0.6049382716049383,0.9074074074074074,0.725925925925926,4,1,16
0.8375,0.7047619047619048,0.6851851851851852,0.6948356807511737,5,1,16
0.8025,0.5921052631578947,0.8411214953271028,0.694980694980695,1,2,16
0.845,0.6666666666666666,0.8411214953271028,0.743801652892562,2,2,16
0.8125,0.6037735849056604,0.8888888888888888,0.7191011235955056,3,2,16
0.865,0.68,0.9444444444444444,0.7906976744186046,4,2,16
0.78,0.5588235294117647,0.8796296296296297,0.6834532374100719,5,2,16
0.855,0.6622516556291391,0.9345794392523364,0.7751937984496124,1,3,16
0.765,0.5355191256830601,0.9158878504672897,0.6758620689655173,2,3,16
0.815,0.5977011494252874,0.9629629629629629,0.7375886524822695,3,3,16
0.825,0.620253164556962,0.9074074074074074,0.7368421052631579,4,3,16
0.78,0.5561797752808989,0.9166666666666666,0.6923076923076923,5,3,16
0.8725,0.7372881355932204,0.8130841121495327,0.7733333333333333,1,4,16
0.8375,0.64,0.897196261682243,0.7470817120622568,2,4,16
0.8425,0.6510067114093959,0.8981481481481481,0.754863813229572,3,4,16
0.805,0.5862068965517241,0.9444444444444444,0.723404255319149,4,4,16
0.84,0.6428571428571429,0.9166666666666666,0.7557251908396947,5,4,16
0.775,0.5445026178010471,0.9719626168224299,0.697986577181208,1,5,16
0.81,0.5895953757225434,0.9532710280373832,0.7285714285714285,2,5,16
0.865,0.6901408450704225,0.9074074074074074,0.784,3,5,16
0.8475,0.6577181208053692,0.9074074074074074,0.7626459143968871,4,5,16
0.865,0.7014925373134329,0.8703703703703703,0.7768595041322314,5,5,16
