accuracy,precision,recall,f1_score,fold,seed,shots
0.7125,0.6223404255319149,0.7267080745341615,0.670487106017192,1,1,4
0.6775,0.5824742268041238,0.7018633540372671,0.6366197183098592,2,1,4
0.6225,0.518796992481203,0.8571428571428571,0.6463700234192038,3,1,4
0.7275,0.6857142857142857,0.5962732919254659,0.6378737541528239,4,1,4
0.73,0.6604938271604939,0.66875,0.6645962732919255,5,1,4
0.61,0.5225225225225225,0.36024844720496896,0.4264705882352941,1,2,4
0.765,0.7964601769911505,0.5590062111801242,0.656934306569343,2,2,4
0.795,0.7068062827225131,0.8385093167701864,0.7670454545454546,3,2,4
0.74,0.6574585635359116,0.7391304347826086,0.695906432748538,4,2,4
0.7975,0.7046632124352331,0.85,0.7705382436260623,5,2,4
0.7825,0.7010869565217391,0.8012422360248447,0.7478260869565218,1,3,4
0.7875,0.7317073170731707,0.7453416149068323,0.7384615384615385,2,3,4
0.8075,0.868421052631579,0.6149068322981367,0.72,3,3,4
0.7775,0.6978021978021978,0.7888198757763976,0.7405247813411079,4,3,4
0.79,0.7835820895522388,0.65625,0.7142857142857143,5,3,4
0.7175,0.8157894736842105,0.38509316770186336,0.5232067510548524,1,4,4
0.825,0.7219512195121951,0.9192546583850931,0.8087431693989071,2,4,4
0.79,0.6974358974358974,0.84472049689441,0.7640449438202247,3,4,4
0.7925,0.693069306930693,0.8695652173913043,0.7713498622589532,4,4,4
0.7525,0.6502463054187192,0.825,0.7272727272727273,5,4,4
0.795,0.8062015503875969,0.6459627329192547,0.7172413793103448,1,5,4
0.815,0.7208121827411168,0.8819875776397516,0.7932960893854749,2,5,4
0.8225,0.7295918367346939,0.8881987577639752,0.8011204481792717,3,5,4
0.8375,0.75,0.8944099378881988,0.8158640226628895,4,5,4
0.8,0.6941747572815534,0.89375,0.7814207650273224,5,5,4
0.8175,0.8098591549295775,0.7142857142857143,0.759075907590759,1,1,8
0.825,0.7357512953367875,0.8819875776397516,0.8022598870056498,2,1,8
0.875,0.8363636363636363,0.8571428571428571,0.8466257668711656,3,1,8
0.8625,0.8011363636363636,0.8757763975155279,0.8367952522255193,4,1,8
0.775,0.6458333333333334,0.96875,0.775,5,1,8
0.82,0.7696969696969697,0.7888198757763976,0.7791411042944786,1,2,8
0.8375,0.7926829268292683,0.8074534161490683,0.8,2,2,8
0.85,0.7821229050279329,0.8695652173913043,0.8235294117647058,3,2,8
0.8725,0.8481012658227848,0.8322981366459627,0.8401253918495298,4,2,8
0.85,0.75,0.9375,0.8333333333333334,5,2,8
0.87,0.8811188811188811,0.782608695652174,0.8289473684210527,1,3,8
0.8775,0.9117647058823529,0.7701863354037267,0.835016835016835,2,3,8
0.8625,0.7819148936170213,0.9130434782608695,0.8424068767908309,3,3,8
0.88,0.8509316770186336,0.8509316770186336,0.8509316770186336,4,3,8
0.855,0.765625,0.91875,0.8352272727272727,5,3,8
0.88,0.869281045751634,0.8260869565217391,0.8471337579617835,1,4,8
0.8925,0.8277777777777777,0.9254658385093167,0.873900293255132,2,4,8
0.8575,0.8421052631578947,0.7950310559006211,0.8178913738019169,3,4,8
0.87,0.7711442786069652,0.9627329192546584,0.856353591160221,4,4,8
0.845,0.745,0.93125,0.8277777777777777,5,4,8
0.8975,0.9,0.8385093167701864,0.8681672025723473,1,5,8
0.875,0.8032786885245902,0.9130434782608695,0.8546511627906976,2,5,8
0.87,0.9504132231404959,0.7142857142857143,0.8156028368794326,3,5,8
0.905,0.8682634730538922,0.9006211180124224,0.8841463414634146,4,5,8
0.91,0.918918918918919,0.85,0.8831168831168831,5,5,8
0.875,0.8881118881118881,0.7888198757763976,0.8355263157894737,1,1,16
0.885,0.8709677419354839,0.8385093167701864,0.8544303797468354,2,1,16
0.9175,0.9444444444444444,0.84472049689441,0.8918032786885246,3,1,16
0.92,0.9215686274509803,0.8757763975155279,0.8980891719745223,4,1,16
0.875,0.7989130434782609,0.91875,0.8546511627906976,5,1,16
0.86,0.7638190954773869,0.9440993788819876,0.8444444444444444,1,2,16
0.875,0.8208092485549133,0.8819875776397516,0.8502994011976048,2,2,16
0.89,0.8502994011976048,0.8819875776397516,0.8658536585365854,3,2,16
0.91,0.8834355828220859,0.8944099378881988,0.8888888888888888,4,2,16
0.8975,0.8993288590604027,0.8375,0.8673139158576052,5,2,16
0.9075,0.8780487804878049,0.8944099378881988,0.8861538461538462,1,3,16
0.89,0.8545454545454545,0.8757763975155279,0.8650306748466258,2,3,16
0.9,0.8579881656804734,0.9006211180124224,0.8787878787878788,3,3,16
0.91,0.8491620111731844,0.9440993788819876,0.8941176470588236,4,3,16
0.8725,0.7853403141361257,0.9375,0.8547008547008547,5,3,16
0.89,0.8128342245989305,0.9440993788819876,0.8735632183908046,1,4,16
0.8775,0.7718446601941747,0.9875776397515528,0.8664850136239782,2,4,16
0.915,0.8757396449704142,0.9192546583850931,0.896969696969697,3,4,16
0.9225,0.8963414634146342,0.9130434782608695,0.9046153846153846,4,4,16
0.9,0.8571428571428571,0.9,0.8780487804878049,5,4,16
0.9225,0.9710144927536232,0.8322981366459627,0.8963210702341137,1,5,16
0.8975,0.8125,0.968944099378882,0.8838526912181303,2,5,16
0.9275,0.9024390243902439,0.9192546583850931,0.9107692307692308,3,5,16
0.9425,0.9367088607594937,0.9192546583850931,0.9278996865203761,4,5,16
0.94,0.9096385542168675,0.94375,0.9263803680981595,5,5,16
