accuracy,precision,recall,f1_score,fold,seed,shots
0.7025,0.5254237288135594,0.9465648854961832,0.6757493188010899,1,1,4
0.8,0.6363636363636364,0.9083969465648855,0.7484276729559748,2,1,4
0.905,0.8133333333333334,0.9242424242424242,0.8652482269503546,3,1,4
0.875,0.7530864197530864,0.9242424242424242,0.8299319727891157,4,1,4
0.875,0.91,0.6893939393939394,0.7844827586206896,5,1,4
0.8875,0.7721518987341772,0.9312977099236641,0.8442906574394463,1,2,4
0.88,0.8738738738738738,0.7404580152671756,0.8016528925619835,2,2,4
0.8625,0.8468468468468469,0.7121212121212122,0.7736625514403292,3,2,4
0.915,0.831081081081081,0.9318181818181818,0.8785714285714286,4,2,4
0.9225,0.8344370860927153,0.9545454545454546,0.8904593639575972,5,2,4
0.8975,0.7960526315789473,0.9236641221374046,0.8551236749116607,1,3,4
0.8975,0.9326923076923077,0.7404580152671756,0.825531914893617,2,3,4
0.925,0.9112903225806451,0.8560606060606061,0.8828125,3,3,4
0.9075,0.8467153284671532,0.8787878787878788,0.862453531598513,4,3,4
0.9375,0.8741258741258742,0.946969696969697,0.9090909090909091,5,3,4
0.8975,0.8260869565217391,0.8702290076335878,0.8475836431226765,1,4,4
0.905,0.7924528301886793,0.9618320610687023,0.8689655172413793,2,4,4
0.945,0.8819444444444444,0.9621212121212122,0.9202898550724637,3,4,4
0.905,0.7865853658536586,0.9772727272727273,0.8716216216216216,4,4,4
0.9275,0.8759124087591241,0.9090909090909091,0.8921933085501859,5,4,4
0.94,0.8689655172413793,0.9618320610687023,0.9130434782608695,1,5,4
0.9275,0.8445945945945946,0.9541984732824428,0.8960573476702509,2,5,4
0.9275,0.8814814814814815,0.9015151515151515,0.8913857677902621,3,5,4
0.9275,0.8456375838926175,0.9545454545454546,0.896797153024911,4,5,4
0.925,0.8642857142857143,0.9166666666666666,0.8897058823529411,5,5,4
0.9375,0.863013698630137,0.9618320610687023,0.9097472924187726,1,1,8
0.9275,0.8984375,0.8778625954198473,0.888030888030888,2,1,8
0.93,0.9,0.8863636363636364,0.8931297709923665,3,1,8
0.94,0.86,0.9772727272727273,0.9148936170212766,4,1,8
0.925,0.9112903225806451,0.8560606060606061,0.8828125,5,1,8
0.925,0.8300653594771242,0.9694656488549618,0.8943661971830986,1,2,8
0.95,0.9236641221374046,0.9236641221374046,0.9236641221374046,2,2,8
0.94,0.8913043478260869,0.9318181818181818,0.9111111111111111,3,2,8
0.94,0.86,0.9772727272727273,0.9148936170212766,4,2,8
0.935,0.8897058823529411,0.9166666666666666,0.9029850746268657,5,2,8
0.905,0.8,0.9465648854961832,0.8671328671328671,1,3,8
0.94,0.928,0.8854961832061069,0.90625,2,3,8
0.9425,0.8707482993197279,0.9696969696969697,0.9175627240143369,3,3,8
0.9325,0.8888888888888888,0.9090909090909091,0.898876404494382,4,3,8
0.865,0.7119565217391305,0.9924242424242424,0.8291139240506329,5,3,8
0.9225,0.8472222222222222,0.9312977099236641,0.8872727272727273,1,4,8
0.915,0.8129032258064516,0.9618320610687023,0.8811188811188811,2,4,8
0.9425,0.8609271523178808,0.9848484848484849,0.9187279151943463,3,4,8
0.905,0.7865853658536586,0.9772727272727273,0.8716216216216216,4,4,8
0.9325,0.8620689655172413,0.946969696969697,0.9025270758122743,5,4,8
0.935,0.8387096774193549,0.9923664122137404,0.9090909090909091,1,5,8
0.9225,0.8246753246753247,0.9694656488549618,0.8912280701754386,2,5,8
0.95,0.9,0.9545454545454546,0.9264705882352942,3,5,8
0.8925,0.7633136094674556,0.9772727272727273,0.8571428571428571,4,5,8
0.94,0.8913043478260869,0.9318181818181818,0.9111111111111111,5,5,8
0.935,0.8387096774193549,0.9923664122137404,0.9090909090909091,1,1,16
0.9225,0.8246753246753247,0.9694656488549618,0.8912280701754386,2,1,16
0.9375,0.8496732026143791,0.9848484848484849,0.9122807017543859,3,1,16
0.945,0.8716216216216216,0.9772727272727273,0.9214285714285714,4,1,16
0.9425,0.8978102189781022,0.9318181818181818,0.9144981412639405,5,1,16
0.875,0.7288135593220338,0.9847328244274809,0.8376623376623377,1,2,16
0.9375,0.8680555555555556,0.9541984732824428,0.9090909090909091,2,2,16
0.94,0.875,0.9545454545454546,0.9130434782608695,3,2,16
0.935,0.9206349206349206,0.8787878787878788,0.8992248062015504,4,2,16
0.945,0.8928571428571429,0.946969696969697,0.9191176470588235,5,2,16
0.8975,0.7678571428571429,0.9847328244274809,0.862876254180602,1,3,16
0.9575,0.9318181818181818,0.9389312977099237,0.935361216730038,2,3,16
0.9575,0.952755905511811,0.9166666666666666,0.9343629343629344,3,3,16
0.9275,0.9327731092436975,0.8409090909090909,0.8844621513944223,4,3,16
0.9325,0.8343949044585988,0.9924242424242424,0.9065743944636678,5,3,16
0.935,0.8620689655172413,0.9541984732824428,0.9057971014492754,1,4,16
0.965,0.927007299270073,0.9694656488549618,0.9477611940298507,2,4,16
0.9625,0.9148936170212766,0.9772727272727273,0.945054945054945,3,4,16
0.95,0.9242424242424242,0.9242424242424242,0.9242424242424242,4,4,16
0.95,0.9375,0.9090909090909091,0.9230769230769231,5,4,16
0.93,0.8280254777070064,0.9923664122137404,0.9027777777777778,1,5,16
0.95,0.9236641221374046,0.9236641221374046,0.9236641221374046,2,5,16
0.905,0.7764705882352941,1.0,0.8741721854304636,3,5,16
0.9625,0.9465648854961832,0.9393939393939394,0.9429657794676806,4,5,16
0.9475,0.8936170212765957,0.9545454545454546,0.9230769230769231,5,5,16
